Country,Organization
Australia,OECD
Austria,OECD
Belgium,OECD
Canada,OECD
Chile,OECD
Czech Republic,OECD
Denmark,OECD
Estonia,OECD
Finland,OECD
France,OECD
Germany,OECD
Greece,OECD
Hungary,OECD
Iceland,OECD
Ireland,OECD
Israel,OECD
Italy,OECD
Japan,OECD
Luxembourg,OECD
Mexico,OECD
Netherlands,OECD
New Zealand,OECD
Norway,OECD
Poland,OECD
Portugal,OECD
Slovak Republic,OECD
Slovenia,OECD
South Korea,OECD
Spain,OECD
Sweden,OECD
Switzerland,OECD
Turkey,OECD
United Kingdom,OECD
United States,OECD
Algeria,OPEC
Angola,OPEC
Ecuador,OPEC
Indonesia,OPEC
Iran,OPEC
Iraq,OPEC
Kuwait,OPEC
Libya,OPEC
Nigeria,OPEC
Qatar,OPEC
Saudi Arabia,OPEC
United Arab Emirates,OPEC
Venezuela,OPEC
